party,year,rile_official,rile_modelled,galtan_official,galtan_modelled,rile_calibrated,galtan_calibrated
BE,1999,-27.604,,-20.832,,,
BE,2002,-20.248,,6.087,,,
BE,2005,-28.637,,-6.197999999999997,,,
BE,2009,-28.66,,-4.679999999999998,,,
BE,2011,-35.82,,4.0760000000000005,,,
BE,2015,-26.703,,-2.360999999999999,,,
BE,2019,-34.513,-24.7,-9.942000000000004,-10.74,-31.03,-13.38
BE,2022,-40.024,-28.49,-14.043,-9.49,-36.44,-12.22
BE,2024,,-30.35,,-7.43,-39.1,-10.32
CDSPP,1995,-0.674,,6.838999999999999,,,
CDSPP,1999,-14.199,,0.6959999999999997,,,
CDSPP,2002,16.197,,10.436999999999998,,,
CDSPP,2005,9.607,,3.3419999999999987,,,
CDSPP,2009,8.95,,12.8,,,
CDSPP,2011,22.817,,17.839000000000002,,,
CDSPP,2019,10.767,3.84,2.144000000000002,3.21,9.71,-0.5
CDSPP,2022,20.0,7.87,10.255,2.17,15.46,-1.46
CDSPP,2024,,-4.91,,3.67,-2.78,-0.08
CH,2019,47.822,29.57,3.366,31.24,46.44,25.37
CH,2022,43.511,27.42,33.589,34.58,43.37,28.45
CH,2024,,-0.6,,8.48,3.37,4.36
IL,2019,13.853,-2.05,1.0830000000000002,1.35,1.3,-2.22
IL,2022,-9.248,-20.61,-9.018,-5.95,-25.19,-8.95
IL,2024,,10.98,,-13.64,19.9,-16.05
L,2019,-24.095,-19.22,-31.428999999999995,-26.21,-23.21,-27.65
L,2022,-27.54,-21.68,-31.507,-30.24,-26.72,-31.37
L,2024,,-25.06,,-22.27,-31.54,-24.02
PAN,2015,-19.381,,-45.772,,,
PAN,2019,-25.473,-19.88,-37.70799999999999,-31.94,-24.15,-32.94
PAN,2022,-23.714,-19.4,-39.932,-31.06,-23.46,-32.13
PAN,2024,,-19.78,,-25.93,-24.01,-27.39
PCP,1975,-44.586,,-34.395,,,
PCP,1976,-16.393,,-9.836999999999998,,,
PCP,1979,6.557,,18.852,,,
PCP,1980,38.267,,27.076000000000004,,,
PCP,1983,20.657,,30.048,,,
PCP,1985,22.764,,29.268000000000008,,,
PCP,1987,30.128,,32.693,,,
PCP,1991,-15.121,,-6.586,,,
PCP,1995,-24.18,,-7.399000000000001,,,
PCP,1999,-29.063,,-6.209999999999998,,,
PCP,2002,-21.276,,-0.7460000000000022,,,
PCP,2005,-23.884,,-2.2340000000000018,,,
PCP,2009,-21.82,,11.87,,,
PCP,2011,-15.0,,20.0,,,
PCP,2015,-20.682,,15.851000000000004,,,
PCP,2019,-31.77,-25.03,8.327999999999998,3.73,-31.5,-0.02
PCP,2022,-27.949,-15.06,14.104000000000005,17.12,-17.27,12.34
PCP,2024,,-22.12,,5.36,-27.35,1.48
PEV,1983,15.625,,-37.5,,,
PEV,1985,30.961,,-15.047000000000004,,,
PEV,1987,46.296,,7.407000000000004,,,
PEV,2002,9.302,,-33.333,,,
PEV,2005,-27.815,,-49.007,,,
PEV,2009,-25.0,,-27.38,,,
PEV,2011,-14.173,,7.875,,,
PEV,2015,-14.079,,-7.943,,,
PEV,2019,-31.28,-30.02,-39.33699999999999,-39.09,-38.62,-39.54
PEV,2022,-14.286,-5.19,-9.523000000000003,-12.75,-3.18,-15.23
PEV,2024,,-19.86,,-22.54,-24.12,-24.27
PS,1975,-58.108,,-45.947,,,
PS,1976,31.28,,21.327,,,
PS,1979,6.606,,18.165,,,
PS,1980,4.734,,5.3260000000000005,,,
PS,1983,-12.0,,12.8,,,
PS,1985,17.808,,10.959,,,
PS,1987,-30.303,,0.0,,,
PS,1991,-11.778,,-11.125000000000002,,,
PS,1995,-16.694,,-7.398999999999999,,,
PS,1999,-17.7,,0.0429999999999992,,,
PS,2002,-9.897,,4.268999999999998,,,
PS,2005,-10.22,,-1.2500000000000018,,,
PS,2009,-4.498,,8.277000000000005,,,
PS,2011,0.241,,11.217999999999998,,,
PS,2015,-4.526,,0.9900000000000002,,,
PS,2019,-12.621,-10.14,-14.184999999999995,-11.54,-10.25,-14.11
PS,2022,-17.752,-17.31,-10.976999999999997,-5.42,-20.48,-8.47
PS,2024,,-11.3,,-6.56,-11.9,-9.52
PSD,1979,9.42,,2.171,,,
PSD,1980,19.431,,8.057,,,
PSD,1983,-20.971,,1.7649999999999997,,,
PSD,1985,26.087,,23.913000000000004,,,
PSD,1987,25.735,,30.882,,,
PSD,1991,-8.774,,-6.679999999999998,,,
PSD,1995,-4.164,,-1.577999999999996,,,
PSD,1999,-0.909,,2.466000000000003,,,
PSD,2002,1.154,,5.376,,,
PSD,2005,2.015,,-4.822999999999999,,,
PSD,2009,6.54,,3.6,,,
PSD,2011,12.811,,11.363,,,
PSD,2019,-4.598,-3.19,-6.731000000000002,-4.03,-0.32,-7.18
PSD,2022,-6.805,-3.09,-4.855000000000002,-1.77,-0.18,-5.1
PSD,2024,,-4.91,,3.67,-2.78,-0.08
